ai_mean_compression_ratio,ai_mean_distinct_1,ai_mean_distinct_2,ai_mean_jaccard_wordset,ai_mean_mattr,ai_mean_n_lines,ai_mean_n_words,ai_mean_ppl,ai_mean_prompt_keyword_coverage,ai_mean_punct_density,ai_mean_repetition_rate,ai_mean_tfidf_cosine,ai_mean_token_entropy,ai_mean_ttr,ai_poem_id,ai_self_bleu2,ai_set_distinct2,ai_std_compression_ratio,ai_std_distinct_1,ai_std_distinct_2,ai_std_jaccard_wordset,ai_std_mattr,ai_std_n_lines,ai_std_n_words,ai_std_ppl,ai_std_prompt_keyword_coverage,ai_std_punct_density,ai_std_repetition_rate,ai_std_tfidf_cosine,ai_std_token_entropy,ai_std_ttr,human_author,human_compression_ratio,human_distinct_1,human_distinct_2,human_id,human_jaccard_wordset,human_mattr,human_n_lines,human_n_words,human_ppl,human_prompt_keyword_coverage,human_punct_density,human_repetition_rate,human_tfidf_cosine,human_title,human_token_entropy,human_ttr,human_year,n_ai_samples,pair_id,prompt_id
0.6256043837777213,0.7783025489539762,0.9948274542278412,0.10145413340856084,0.9382075376282156,20.2,141.2,102.17286835253451,0.15,0.035764668816312364,0.0,0.22901756549101115,6.53130308104095,0.7783025489539762,ai_gryphius_1636,0.4203262490984028,0.8380884450784594,0.012157316324651966,0.020248467245665785,0.0051700417553865174,0.013355016170585817,0.0162890453004067,3.0477678535099892,11.56431292093626,16.48455075776691,0.06573421981221796,0.0033039374298859613,0.0,0.027034551784115925,0.1394893184545348,0.020248467245665785,Andreas Gryphius,0.6236842105263158,0.7380952380952381,0.992,gryphius_1636,,0.9154205607476635,14.0,126.0,155.08848999952926,0.0,0.03987240829346093,0.0,,Tränen des Vaterlandes,6.262994209214209,0.7380952380952381,1636,10,gryphius_1636__ai_gryphius_1636,prompt_gryphius
0.6204030152023718,0.7571459203606825,0.9904737168981914,0.13644052009959254,0.9606031054744003,24.6,152.0,103.91171559862639,0.041666666666666664,0.03296644752285219,0.0,0.2281307899995005,6.65012658394277,0.7571459203606825,ai_goethe_1771,0.3960216344019816,0.8629139072847682,0.012235393137127735,0.03343480121442481,0.009603497097930064,0.012854900932826695,0.011406197099065636,4.005551702879947,12.849556844930921,19.591232107952482,0.05892556509887896,0.0028172391652577485,0.0,0.029909579096133322,0.1508829288813514,0.03343480121442481,Johann Wolfgang von Goethe,0.5905441570026762,0.6739130434782609,0.9726775956284153,goethe_1771,,0.9278787878787879,32.0,184.0,117.30251576457317,0.08333333333333333,0.038293216630196934,0.0,,Willkommen und Abschied,6.686180434129761,0.6739130434782609,1771,10,goethe_1771__ai_goethe_1771,prompt_goethe
0.6451825969096429,0.8025383547660836,0.9954081660147865,0.08669065713012905,0.9627662108507643,19.6,129.9,123.0382293785071,0.03636363636363636,0.03214488353937352,0.0,0.1279768147352476,6.50922009415554,0.8025383547660836,ai_hoelderlin_1804,0.36694758807821326,0.8750969743987588,0.02847047060027832,0.031027543303727926,0.005894727066988218,0.012968522594064988,0.013633189656382558,2.9514591494904874,20.38763241662836,15.003310131136736,0.04694525268130203,0.002813079389596725,0.0,0.019776072088253268,0.1812569234665294,0.031027543303727926,Friedrich Hölderlin,0.7604790419161677,0.8103448275862069,1.0,hoelderlin_1804,,0.9128205128205129,14.0,58.0,194.48577795025432,0.0,0.03676470588235294,0.0,,Hälfte des Lebens,5.403420167944808,0.8103448275862069,1804,10,hoelderlin_1804__ai_hoelderlin_1804,prompt_hoelderlin
0.6094088676585422,0.695883550838104,0.9705163646429643,0.10716210799941277,0.9052198991113884,23.6,158.8,92.46556461598678,0.016666666666666666,0.03753386487766683,0.0,0.27629463473021487,6.448774349266283,0.695883550838104,ai_heine_1844,0.4624048660513134,0.8054499366286438,0.01818452997102178,0.033472702789399435,0.014315154034625667,0.012418942248882415,0.016724700098557317,2.2705848487901865,15.795920711092187,20.901870749514053,0.03513641844631533,0.003920114317290303,0.0,0.07385612820026305,0.11639000641131336,0.033472702789399435,Heinrich Heine,0.4933184855233853,0.5563380281690141,0.7659574468085106,heine_1844,,0.7995934959349593,25.0,142.0,35.575126163145306,0.08333333333333333,0.04341926729986431,0.16,,Die schlesischen Weber,5.61496755142477,0.5563380281690141,1844,10,heine_1844__ai_heine_1844,prompt_heine
0.6238077645610342,0.7550830769362944,0.9884537946518002,0.1088117983126756,0.9400044113865539,23.2,146.1,107.45419327876155,0.09166666666666666,0.0365248246105838,0.0,0.14996181159176356,6.54640633786979,0.7550830769362944,ai_herwegh_1848,0.40463007392375977,0.8525155065472089,0.015359300702729416,0.02746508460843738,0.008556286994589267,0.00950334175010979,0.012818034428542732,2.5298221281347035,13.876038499674339,28.565823251003756,0.026352313834736494,0.003934296839940231,0.0,0.012659785102787952,0.10336594975742955,0.02746508460843738,Georg Herwegh,0.6051660516605166,0.7007299270072993,0.9411764705882353,herwegh_1848,,0.903813559322034,24.0,137.0,144.7784936798841,0.08333333333333333,0.05413533834586466,0.0,,Reiterlied,6.339825491858858,0.7007299270072993,1848,10,herwegh_1848__ai_herwegh_1848,prompt_herwegh
0.6460000309994396,0.7929272359513304,0.997715687710239,0.1069895775270427,0.9451358534067278,20.4,119.2,90.00521849020733,0.08333333333333333,0.028728073019791422,0.0,0.22469008633660312,6.327985382188362,0.7929272359513304,ai_trakl_1914,0.47230956961755705,0.8104906937394247,0.014167915664902518,0.04602316354387239,0.003684907042807295,0.015357559944616541,0.020805073252517917,3.238655413730965,13.91881220985948,15.126868510527759,0.05555555555555555,0.0030373718927288545,0.0,0.024600717514121094,0.16140546671857955,0.04602316354387239,Georg Trakl,0.6396761133603239,0.8348623853211009,1.0,trakl_1914,,0.935,17.0,109.0,196.99292985839733,0.0,0.026143790849673203,0.0,,Grodek,6.28443151786682,0.8348623853211009,1914,10,trakl_1914__ai_trakl_1914,prompt_trakl
0.6311184326050384,0.7871600943471384,0.9914913667282971,0.04789952704035565,0.9540170598573485,20.8,119.2,70.60334875888526,0.03333333333333333,0.032960126407074505,0.0,0.05841099849921244,6.344266856165009,0.7871600943471384,ai_kafka_1917,0.37077003728027524,0.8705583756345178,0.02075710340428932,0.027840575607880513,0.007213293701530412,0.010216688489248466,0.01842765177986609,3.552776691859794,19.72477291800001,19.10576151876642,0.04303314829119352,0.0030872017328791718,0.0,0.013035839965143662,0.18877174010286524,0.027840575607880513,Franz Kafka,0.9705882352941176,0.9583333333333334,1.0,kafka_1917,,0.96,5.0,24.0,213.22391005361985,0.0,0.0,0.0,,Kleine Seele,4.501629167387823,0.9583333333333334,1917,10,kafka_1917__ai_kafka_1917,prompt_kafka
0.5983390042790111,0.7254231285229154,0.9804614690172107,0.11549954477634435,0.9284687202785864,36.3,167.0,78.7409100014556,0.09,0.035570459663534296,0.002040816326530612,0.2844536580166982,6.663547818933528,0.7254231285229154,ai_brecht_1938,0.41094254237607963,0.8439759036144578,0.011973714413792665,0.024633479028050943,0.012272450319128608,0.011692698640787988,0.011857943324217387,6.325433669805661,20.077627128500794,21.21569458380781,0.08755950357709132,0.003342631909420538,0.006453627877894651,0.027855521586452277,0.14024264782286186,0.024633479028050943,Bertolt Brecht,0.4897435897435897,0.5260869565217391,0.8954248366013072,brecht_1938,,0.9105442176870748,77.0,460.0,75.99311166526695,0.0,0.03312444046553268,0.09090909090909091,,An die Nachgeborenen,7.292235362947656,0.5260869565217391,1938,10,brecht_1938__ai_brecht_1938,prompt_brecht
0.6362301981542511,0.7760702062068704,0.9957551432157686,0.07322726416179592,0.9512699071231919,28.4,123.2,85.15043683287968,0.2,0.030787072860186164,0.0,0.14984375495836694,6.3844622999995995,0.7760702062068704,ai_lasker_1943,0.42465272643767377,0.851063829787234,0.013517860838280845,0.018921548360285676,0.005864248587631841,0.010127239616553173,0.011057314853367965,4.273952113286562,12.452576707921406,12.611092195432084,0.08050764858994132,0.004782237847709864,0.0,0.04143738035863939,0.12537671506170134,0.018921548360285676,Else Lasker-Schüler,0.7355163727959698,0.8307692307692308,1.0,lasker_1943,,0.8826086956521739,13.0,65.0,381.8255893782107,0.0,0.046012269938650305,0.0,,Mein blaues Klavier,5.5759131975107055,0.8307692307692308,1943,10,lasker_1943__ai_lasker_1943,prompt_lasker
0.6390736201034841,0.7716535494876704,0.994853368479754,0.10439144889569121,0.9426215309985313,30.8,120.6,76.72662286357209,0.05833333333333333,0.03314849844079047,0.0029411764705882353,0.13145735591659147,6.317022811934373,0.7716535494876704,ai_celan_1945,0.46152522529013407,0.8269230769230769,0.02111059200257513,0.02687581373600076,0.004478195620188545,0.014293254653165818,0.016739841459958632,4.541169697580373,16.235762994081924,18.4148037177743,0.06860605019571372,0.0033655719658450974,0.009300816647554057,0.012633084072331597,0.14250491119398656,0.02687581373600076,Paul Celan,0.3025568181818182,0.2891891891891892,0.5365853658536586,celan_1945,,0.8286324786324787,36.0,370.0,35.58501728295014,0.0,0.0,0.19444444444444445,,Todesfuge,6.17432953668288,0.2891891891891892,1945,10,celan_1945__ai_celan_1945,prompt_celan
