ai_ppl_mean,ai_ppl_std,comment,human_ppl,poem_id
102.17286835253451,16.48455075776691,KI < Mensch,155.08848999952926,gryphius_1636
103.91171559862639,19.591232107952482,KI < Mensch,117.30251576457317,goethe_1771
123.0382293785071,15.003310131136736,KI < Mensch,194.48577795025432,hoelderlin_1804
92.46556461598678,20.901870749514053,KI > Mensch,35.575126163145306,heine_1844
107.45419327876155,28.565823251003756,KI < Mensch,144.7784936798841,herwegh_1848
90.00521849020733,15.126868510527759,KI < Mensch,196.99292985839733,trakl_1914
70.60334875888526,19.10576151876642,KI < Mensch,213.22391005361985,kafka_1917
78.7409100014556,21.21569458380781,KI > Mensch,75.99311166526695,brecht_1938
85.15043683287968,12.611092195432084,KI < Mensch,381.8255893782107,lasker_1943
76.72662286357209,18.4148037177743,KI > Mensch,35.58501728295014,celan_1945
